"Collision Report Number","Collision Date","County","City","Jurisdiction","Agency","Primary Trafficway","Secondary Trafficway","Block Number","Mile Post","School Zone","Intersection Related","Weather Condition","Lighting Condition","Injury Severity","Collision Type","Object Struck","Damage Threshold Met","Hit and Run","Motor Vehicles Involved","Passengers Involved","Commercial Carrier Involved","School Bus Involved","Pedestrians Involved","Pedalcyclists Involved"
"EA90444","12/14/2020 4:57:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","ALABAMA             ","","254.000","N","N","Clear","Dark-No Street Lights","Minor Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA90447","12/14/2020 5:45:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","SMITH RD            ","","3.500","N","Y","Clear","Dark-Street Lights On","Minor Injury Collision","","sons","Y","N","2","Y","N","N","0","0"
"EA90445","12/14/2020 6:35:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","SMITH RD            ","","3.500","N","Y","Clear","Dark-Street Lights On","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA90445","12/14/2020 6:35:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","SMITH RD            ","","3.500","N","Y","Clear","Dark-Street Lights On","No Injury Collision","","","N","N","2","Y","N","N","0","0"
"EA90446","12/15/2020 4:15:00 AM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","E. WISER LAKE ROAD  ","","8.570","N","Y","Raining","Dark-No Street Lights","No Injury Collision","","STREET SIGN","Y","N","1","N","N","N","0","0"
"EA90448","12/15/2020 4:43:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","SR 9                ","","10.150","N","N","Raining","Dark-Street Lights On","Minor Injury Collision","","","N","N","3","N","N","N","0","0"
"EA90448","12/15/2020 4:43:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","SR 9                ","","10.150","N","N","Raining","Dark-Street Lights On","Minor Injury Collision","","","Y","N","3","N","N","N","0","0"
"EA91201","12/15/2020 5:30:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SUNSET              ","","255.200","N","N","Raining","Dark-Street Lights On","No Injury Collision","","","Y","N","3","N","N","N","0","0"
"EA91201","12/15/2020 5:30:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SUNSET              ","","255.200","N","N","Raining","Dark-Street Lights On","No Injury Collision","","","N","N","3","N","N","N","0","0"
"EA90449","12/15/2020 6:06:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SUNSET DR           ","","255.200","N","N","Clear","Dark-No Street Lights","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA90449","12/15/2020 6:06:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SUNSET DR           ","","255.200","N","N","Clear","Dark-No Street Lights","No Injury Collision","","","N","N","2","N","N","N","0","0"
"EA91079","12/16/2020 12:00:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR542               ","SR547               ","6000  ","","N","N","Raining","Dark-No Street Lights","No Injury Collision","","ditch","Y","N","1","N","N","N","0","0"
"EA91079","12/16/2020 12:00:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR542               ","SR547               ","6000  ","","N","N","Raining","Dark-No Street Lights","No Injury Collision","","ditch","N","N","1","N","N","N","0","0"
"EA91081","12/16/2020 2:29:00 PM","Whatcom","Bellingham","State Road","State Patrol","I5                  ","SR 539              ","","256.100","N","N","Raining","Daylight","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA91105","12/17/2020 7:22:00 AM","Whatcom","Lynden","State Road","State Patrol","SR546               ","NORTHWOOD           ","","3.000","N","Y","Raining","Dark-Street Lights On","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA92176","12/17/2020 8:40:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","MERIDIAN STREET     ","","256.800","N","N","Clear","Daylight","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA90450","12/17/2020 4:33:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN STREET         ","","262.550","N","N","Raining","Dark-No Street Lights","Minor Injury Collision","","CHAIN LINK FENCE","Y","N","1","N","N","N","0","0"
"EA91287","12/17/2020 11:52:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","WISER LAKE RD       ","","8.570","N","Y","Raining","Dark-Street Lights Off","No Injury Collision","","Utility Pole","Y","N","1","N","N","N","0","0"
"EA91107","12/18/2020 3:59:00 PM","Whatcom","Sumas","State Road","State Patrol","SR 546              ","VAN BUREN RD        ","","6.800","N","N","Other","Dusk","No Injury Collision","","Earth Bank or Ledge","Y","N","1","N","Y","N","0","0"
"EA93839","12/18/2020 8:49:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","SR 544              ","","4.500","N","N","Raining","Dark-Street Lights On","Unknown Injury Collision","","sign","N","Y","1","N","N","N","0","0"
"EA91288","12/19/2020 12:47:00 AM","Whatcom","Bellingham","State Road","State Patrol","SUNSET AVE          ","IDELL ROAD          ",".     ","","N","N","Overcast","Dark-Street Lights On","No Injury Collision","","Animal (Deer)","Y","N","1","N","N","N","0","0"
"EA92179","12/19/2020 2:20:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 539              ","","256.000","N","N","Raining","Daylight","Minor Injury Collision","","","N","N","2","Y","N","N","0","0"
"EA92179","12/19/2020 2:20:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 539              ","","256.000","N","N","Raining","Daylight","Minor Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA92180","12/19/2020 3:34:00 PM","Whatcom","Sumas","State Road","State Patrol","SR 547              ","OVERLAND TRAIL      ","","1.500","N","Y","Raining","Dusk","Minor Injury Collision","","Earth Bank or Ledge / Bush","N","N","2","N","N","N","0","0"
"EA92180","12/19/2020 3:34:00 PM","Whatcom","Sumas","State Road","State Patrol","SR 547              ","OVERLAND TRAIL      ","","1.500","N","Y","Raining","Dusk","Minor Injury Collision","","Earth Bank or Ledge / Bush","Y","N","2","N","N","N","0","0"
"EA93304","12/20/2020 8:58:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","MOSQUITO LAKE ROAD  ","","16.150","N","N","Raining","Unknown","Unknown Injury Collision","","","Y","N","1","N","N","N","0","0"
"EA93303","12/21/2020 7:26:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","36TH STREET         ","","251.560","N","N","Raining","Dawn","Minor Injury Collision","","Guardrail","Y","N","2","N","N","N","0","0"
"EA93305","12/21/2020 1:49:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","PORTAL WAY          ","","264.000","N","N","Snowing","Daylight","Minor Injury Collision","","Concrete/Jersey Barrier","N","N","2","N","N","N","0","0"
"EA93305","12/21/2020 1:49:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","PORTAL WAY          ","","264.000","N","N","Snowing","Daylight","Minor Injury Collision","","Concrete/Jersey Barrier","Y","N","2","N","N","N","0","0"
"EA93308","12/21/2020 2:13:00 PM","Whatcom","Everson","State Road","State Patrol","SR 544              ","EVERSON GOSHEN ROAD ","","5.500","N","N","Snowing","Daylight","No Injury Collision","","Fence","Y","N","1","Y","N","N","0","0"
"EA93308","12/21/2020 2:13:00 PM","Whatcom","Everson","State Road","State Patrol","SR 544              ","EVERSON GOSHEN ROAD ","","5.500","N","N","Snowing","Daylight","No Injury Collision","","Fence","N","N","1","Y","N","N","0","0"
"EA91659","12/21/2020 2:35:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","AXTON ROAD          ","","263.400","N","N","Snowing","Daylight","No Injury Collision","","Cable Barrier","N","N","1","N","N","N","0","0"
"EA91659","12/21/2020 2:35:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","AXTON ROAD          ","","263.400","N","N","Snowing","Daylight","No Injury Collision","","Cable Barrier","Y","N","1","N","N","N","0","0"
"EA94268","12/21/2020 5:20:00 PM","Whatcom","Nooksack","State Road","State Patrol","SR542               ","GLACIER CREEK ROAD  ","","34.300","N","N","Clear","Dark-No Street Lights","No Injury Collision","","","Y","Y","2","N","N","N","0","0"
"EA92177","12/21/2020 5:42:00 PM","Whatcom","Bellingham","State Road","State Patrol","I5                  ","N SAMISH WAY        ","","247.300","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA94227","12/21/2020 5:42:00 PM","Whatcom","Bellingham","State Road","State Patrol","I5                  ","N LAKE SAMISH RD    ","","247.400","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","Guardrail","Y","N","1","Y","N","N","0","0"
"EA92181","12/21/2020 7:18:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","GRANDVIEW           ","","266.000","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","Tree or Stump","Y","N","1","N","N","N","0","0"
"EA98102","12/21/2020 8:02:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","NULLE ROAD          ","","245.200","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","Tree or Stump","Y","N","1","N","Y","N","0","0"
"EA92202","12/21/2020 9:20:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKE SAMISH         ","","246.000","N","N","Clear","Dark-No Street Lights","No Injury Collision","","Tree or Stump","Y","N","1","Y","N","N","0","0"
"EB03312","12/21/2020 9:37:00 PM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","PORTAL WAY          ","","263.600","N","N","Clear","Dark-Street Lights On","No Injury Collision","","Light Pole","Y","N","1","N","N","N","0","0"
"EA92199","12/21/2020 10:30:00 PM","Whatcom","Nooksack","State Road","State Patrol","SR 9                ","STRAND ROAD         ","","75.400","N","N","Clear","Dark-No Street Lights","No Injury Collision","","Roadway Ditch","Y","N","1","N","N","N","0","0"
"EA92182","12/22/2020 1:00:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","GRANDVIEW OFFRAMP   ","","265.900","N","N","Overcast","Dark-No Street Lights","Unknown Injury Collision","","Guardrail","Y","Y","1","N","N","N","0","0"
"EA93306","12/22/2020 6:08:00 AM","Whatcom","Ferndale","State Road","State Patrol","SR 548              ","PORTAL WAY          ","","0.500","N","N","Clear","Dark - Unknown Lighting","No Injury Collision","","ditch","Y","N","1","Y","N","N","0","0"
"EA93840","12/22/2020 7:03:00 AM","Whatcom","Blaine","State Road","State Patrol","SR 548              ","BAY ROAD            ","","6.950","N","Y","Fog or Smog or Smoke","Dawn","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA96435","12/22/2020 9:00:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","ALGER WAY           ","","32.300","N","N","Clear","Daylight","No Injury Collision","","Mailbox","Y","N","1","Y","N","N","0","0"
"EA95354","12/22/2020 12:05:00 PM","Whatcom","","State Road","State Patrol","EB SR-544           ","SR-539              ","","0.200","N","N","Overcast","Daylight","Minor Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA92309","12/22/2020 1:25:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","","","38.500","N","N","Clear","Daylight","No Injury Collision","","Culvert","Y","N","1","Y","N","N","0","0"
"EA93307","12/23/2020 12:38:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","AXTON ROAD          ","","4.500","N","N","Clear","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA94231","12/23/2020 10:00:00 PM","Whatcom","Sumas","State Road","State Patrol","SR 542              ","CORNELL CR RD       ","","32.510","N","N","Clear","Dark-No Street Lights","No Injury Collision","","Guardrail","Y","N","1","N","N","N","0","0"
"EA94232","12/23/2020 10:24:00 PM","Whatcom","Ferndale","State Road","State Patrol","I5                  ","PORTAL WAY          ",".     ","","N","Y","Clear","Dark-Street Lights Off","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA93309","12/24/2020 1:57:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 544              ","HANNEGAN ROAD       ","","1.970","N","Y","Raining","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA93841","12/26/2020 12:50:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","SALMON RIDGE RD     ","","51.520","N","N","Snowing","Daylight","No Injury Collision","","","Y","Y","2","N","N","N","0","0"
"EA95166","12/26/2020 4:38:00 PM","Whatcom","Sedro-Woolley","State Road","State Patrol","SR 9                ","MALENG RD           ","","70.400","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","LAWN MOWER, SHED, FIRE PIT, BOAT MOTOR","Y","N","2","N","N","N","0","0"
"EA95166","12/26/2020 4:38:00 PM","Whatcom","Sedro-Woolley","State Road","State Patrol","SR 9                ","MALENG RD           ","","70.400","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","LAWN MOWER, SHED, FIRE PIT, BOAT MOTOR","N","N","2","N","N","N","0","0"
"EA95319","12/27/2020 3:44:00 PM","Whatcom","Ferndale","State Road","State Patrol","SR 548              ","BLAINE RD           ","","5.900","N","N","Overcast","Daylight","No Injury Collision","","","N","N","2","Y","N","N","0","0"
"EA95319","12/27/2020 3:44:00 PM","Whatcom","Ferndale","State Road","State Patrol","SR 548              ","BLAINE RD           ","","5.900","N","N","Overcast","Daylight","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA94235","12/27/2020 6:00:00 PM","Whatcom","Bellingham","State Road","State Patrol","I5                  ","SAMISH WAY          ","","251.900","N","N","Raining","Dark-Street Lights On","No Injury Collision","","Fence","Y","N","1","Y","N","N","0","0"
"EA93838","12/28/2020 9:56:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","ALABAMA ST          ","","254.100","N","N","Clear","Daylight","No Injury Collision","","Concrete/Jersey Barrier","Y","N","1","N","N","N","0","0"
"EA93838","12/28/2020 9:56:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","ALABAMA ST          ","","254.100","N","N","Clear","Daylight","No Injury Collision","","Concrete/Jersey Barrier","N","N","1","N","N","N","0","0"
"EA93842","12/28/2020 10:36:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","CHANCE ROAD         ","","2.460","N","N","Clear","Daylight","No Injury Collision","","Guardrail","Y","N","2","N","N","N","0","0"
"EA95869","12/28/2020 9:58:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SUNSET DRIVE        ","","254.620","N","N","Clear","Dark-No Street Lights","Serious Injury Collision","","JERSEY BARRIER","Y","N","1","Y","N","N","0","0"
"EA95324","12/29/2020 12:27:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","TEN MILE RD         ","","6.000","N","Y","Overcast","Daylight","No Injury Collision","","Street Light Pole","Y","N","1","Y","N","N","0","0"
"EA94454","12/30/2020 5:03:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SUNSET DRIVE        ","","254.600","N","N","Severe Crosswind","Dark-Street Lights On","No Injury Collision","","Concrete/Jersey Barrier","Y","N","1","N","N","N","0","0"
"EA94454","12/30/2020 5:03:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SUNSET DRIVE        ","","254.600","N","N","Severe Crosswind","Dark-Street Lights On","No Injury Collision","","Concrete/Jersey Barrier","N","N","1","N","N","N","0","0"
"EA95321","12/31/2020 11:15:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","CORNELL CREEK BRIDGE","","32.900","N","N","Clear","Daylight","No Injury Collision","","deer","Y","N","1","N","N","N","0","0"
"EA95320","12/31/2020 3:19:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","N LAKE SAMISH       ","","248.100","N","N","Raining","Dusk","No Injury Collision","","","N","N","2","N","Y","N","0","0"
"EA95320","12/31/2020 3:19:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","N LAKE SAMISH       ","","248.100","N","N","Raining","Dusk","No Injury Collision","","","Y","N","2","N","Y","N","0","0"
"EA96415","1/1/2021 5:16:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","MARKEL RD           ","","20.000","N","N","Raining","Dark-No Street Lights","No Injury Collision","","Earth Bank or Ledge","Y","N","1","N","N","N","0","0"
"EA95322","1/2/2021 2:37:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","254.470","N","N","Raining","Daylight","No Injury Collision","","Retaining Wall","N","N","1","N","N","N","0","0"
"EA95322","1/2/2021 2:37:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 542              ","","254.470","N","N","Raining","Daylight","No Injury Collision","","Retaining Wall","Y","N","1","N","N","N","0","0"
"EA95325","1/2/2021 3:13:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 11               ","","248.400","N","N","Raining","Dusk","No Injury Collision","","Concrete/Jersey Barrier","Y","N","1","Y","N","N","0","0"
"EA95325","1/2/2021 3:13:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 11               ","","248.400","N","N","Raining","Dusk","No Injury Collision","","Concrete/Jersey Barrier","N","N","1","Y","N","N","0","0"
"EA98101","1/3/2021 6:21:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","VAN WYCK ROAD       ","","4.100","N","N","Overcast","Dark - Unknown Lighting","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA96417","1/4/2021 10:53:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","SLATER RD           ","","260.200","N","N","Raining","Daylight","Minor Injury Collision","","","N","N","3","N","N","N","0","0"
"EA96417","1/4/2021 10:53:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","SLATER RD           ","","260.200","N","N","Raining","Daylight","Minor Injury Collision","","","Y","N","3","N","N","N","0","0"
"EA96416","1/4/2021 11:23:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","MAIN STREET         ","","262.700","N","N","Raining","Daylight","No Injury Collision","","CABLE BARRIER","Y","N","1","N","N","N","0","0"
"EA96418","1/4/2021 12:38:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKE SAMISH ROAD    ","","244.800","N","N","Raining","Daylight","Minor Injury Collision","","Guardrail","Y","N","1","N","N","N","0","0"
"EA96432","1/4/2021 12:53:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 9                ","MALENG RD           ","","70.400","N","N","Raining","Daylight","No Injury Collision","","Earth Bank or Ledge","Y","N","1","N","N","N","0","0"
"EA96234","1/4/2021 8:59:00 PM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","WISER LAKE RD       ","","8.570","N","Y","Overcast","Dark-No Street Lights","No Injury Collision","","ONE WAY SIGN","Y","N","1","N","Y","N","0","0"
"EA99036","1/5/2021 3:00:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","GALENA CREEK BRIDGE ","","50.000","N","N","Snowing","Dusk","No Injury Collision","","Tree or Stump","Y","N","2","Y","N","N","0","0"
"EA97188","1/5/2021 3:42:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 539              ","","256.000","N","N","Raining","Daylight","No Injury Collision","","","N","Y","2","N","N","N","0","0"
"EA97188","1/5/2021 3:42:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","SR 539              ","","256.000","N","N","Raining","Daylight","No Injury Collision","","","Y","Y","2","N","N","N","0","0"
"EA96232","1/5/2021 9:30:00 PM","Whatcom","Nooksack","State Road","State Patrol","SR 542              ","MOSQUITO LAKE RD    ","","18.900","N","N","Raining","Dark-No Street Lights","No Injury Collision","","DOWNED TREE","Y","N","1","N","N","N","0","0"
"EA96236","1/5/2021 9:55:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","N LAKE SAMMISH      ","","245.000","N","N","Raining","Dark-No Street Lights","No Injury Collision","","Guardrail","Y","N","1","N","N","N","0","0"
"EA96434","1/6/2021 11:43:00 AM","Whatcom","Blaine","State Road","State Patrol","SR 548              ","BIRCH BAY LYNDEN RD ","","8.960","N","Y","Overcast","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA96996","1/6/2021 6:29:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","SR-539              ","","256.000","N","N","Clear","Dark-Street Lights On","No Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA96997","1/8/2021 1:20:00 AM","Whatcom","Blaine","State Road","State Patrol","I5                  ","WHITE RD            ","","271.600","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","Roadway Ditch","Y","N","2","Y","N","N","0","0"
"EA97189","1/9/2021 10:36:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","E WISER LAKE ROAD   ","","8.570","N","Y","Clear","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA98103","1/9/2021 5:13:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","NORTH LAKE SAMISH   ","","245.000","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","","N","N","1","N","N","N","0","0"
"EA98104","1/10/2021 11:00:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","CHUCKANUT DRIVE     ","","249.200","N","N","Raining","Dark-No Street Lights","No Injury Collision","","Rock Bank or Ledge","Y","N","1","N","N","N","0","0"
"EA98146","1/11/2021 6:30:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","WELLS CRK RD        ","","43.400","N","N","Raining","Dark-No Street Lights","No Injury Collision","","tree","Y","N","1","N","N","N","0","0"
"EA98106","1/11/2021 6:40:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR-9                ","POTTER RD           ","77    ","","N","N","Raining","Dark-No Street Lights","Minor Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA99035","1/12/2021 7:21:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","PORTAL WAY          ","","263.900","N","N","Raining","Dawn","Minor Injury Collision","","Earth Bank or Ledge","Y","N","2","N","Y","N","0","0"
"EA99035","1/12/2021 7:21:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","PORTAL WAY          ","","263.900","N","N","Raining","Dawn","Minor Injury Collision","","Earth Bank or Ledge","N","N","2","N","Y","N","0","0"
"EA99037","1/12/2021 12:59:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","N. SAMISH           ","","244.600","N","N","Raining","Daylight","No Injury Collision","","Guardrail","Y","N","2","N","Y","N","0","0"
"EB00417","1/12/2021 4:50:00 PM","Whatcom","Nooksack","State Road","State Patrol","SR 542              ","MARKEL RD           ","","19.500","N","N","Raining","Dark-No Street Lights","No Injury Collision","","Rock Bank or Ledge","Y","N","1","N","N","N","0","0"
"EA98107","1/12/2021 5:06:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","SLATER RD           ","","261.000","N","N","Raining","Dark-Street Lights Off","No Injury Collision","","","Y","N","1","Y","N","N","0","0"
"EA98834","1/14/2021 1:41:00 AM","Whatcom","Sumas","State Road","State Patrol","SR 542              ","HATCHERY RD         ","","21.500","N","N","Clear","Dark-No Street Lights","Minor Injury Collision","","","Y","N","1","N","N","N","0","0"
"EA98835","1/14/2021 5:39:00 PM","Whatcom","Sumas","State Road","State Patrol","SR 9                ","GARRISON RD         ","","94.550","N","Y","Overcast","Dark-Street Lights On","No Injury Collision","","Roadway Ditch","Y","N","1","N","N","N","0","0"
"EB03309","1/17/2021 6:31:00 PM","Whatcom","Sumas","State Road","State Patrol","SR 547              ","CIMARRON            ","","2.400","N","Y","Clear","Dark-No Street Lights","Minor Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA99638","1/18/2021 10:54:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 544              ","SR 539              ","","1.000","N","Y","Clear","Daylight","Minor Injury Collision","","","N","N","2","N","N","N","0","0"
"EA99638","1/18/2021 10:54:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 544              ","SR 539              ","","1.000","N","Y","Clear","Daylight","Minor Injury Collision","","","Y","N","2","N","N","N","0","0"
"EB00418","1/20/2021 11:04:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","SR-539              ","","255.000","N","N","Clear","Dark-No Street Lights","Serious Injury Collision","","Ditch","Y","Y","2","N","N","N","0","0"
"EB02118","1/22/2021 10:35:00 AM","Whatcom","Lynden","State Road","State Patrol","SR 539              ","SR 546              ","8609  ","","N","N","Clear","Daylight","No Injury Collision","","Earth Bank or Ledge","Y","N","1","N","N","N","0","0"
"EB00420","1/22/2021 6:38:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","SR-539              ","","256.000","N","N","Clear","Dark-Street Lights On","No Injury Collision","","","N","N","3","Y","N","N","0","0"
"EB00420","1/22/2021 6:38:00 PM","Whatcom","Bellingham","State Road","State Patrol","I-5                 ","SR-539              ","","256.000","N","N","Clear","Dark-Street Lights On","No Injury Collision","","","Y","N","3","Y","N","N","0","0"
"EB00416","1/22/2021 8:11:00 PM","Whatcom","Everson","State Road","State Patrol","SR9                 ","EAST BADGER         ","","93.000","N","N","Clear","Dark-No Street Lights","Unknown Injury Collision","","POWER POLE","Y","Y","1","N","N","N","0","0"
"EB03579","1/23/2021 11:15:00 AM","Whatcom","Sumas","State Road","State Patrol","SR 547              ","LIMESTONE RD        ","","3.300","N","N","Overcast","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EB02120","1/23/2021 11:45:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","BAKERVIEW ROAD      ","","257.000","N","N","Clear","Daylight","No Injury Collision","","Guardrail","Y","N","1","N","N","N","0","0"
"EB03315","1/24/2021 4:04:00 AM","Whatcom","Blaine","State Road","State Patrol","I-5                 ","PEACE PORTAL DR     ","","272.800","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","deer/ditch","Y","N","1","N","N","N","0","0"
"EB02121","1/24/2021 11:31:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKEWAY DR          ","","252.300","N","N","Raining","Daylight","No Injury Collision","","Guardrail","N","N","1","N","N","N","0","0"
"EB02121","1/24/2021 11:31:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKEWAY DR          ","","252.300","N","N","Raining","Daylight","No Injury Collision","","Guardrail","Y","N","1","N","N","N","0","0"
"EB02123","1/25/2021 1:00:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","DEADHORSE CRK RD    ","","50.100","N","N","Snowing","Dark-No Street Lights","No Injury Collision","","sign","Y","Y","1","N","N","N","0","0"
"EB02122","1/25/2021 8:19:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKE SAMISH ROAD    ","","245.500","N","N","Snowing","Daylight","No Injury Collision","","Earth Bank or Ledge","Y","N","1","N","N","N","0","0"
"EB03311","1/26/2021 2:00:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR539               ","TEN MILE RAOD       ","","6.000","N","Y","Overcast","Dark-Street Lights On","Serious Injury Collision","","Earth Bank or Ledge","Y","N","1","N","N","N","0","0"
"EB03583","1/26/2021 11:22:00 AM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","LAKEWAY DR          ","","253.250","N","N","Clear","Daylight","Minor Injury Collision","","Guardrail","Y","N","1","N","N","N","0","0"
"EB03314","1/28/2021 5:22:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR-539              ","WISER LAKE RD       ","","8.000","N","N","Overcast","Dark-No Street Lights","No Injury Collision","","","Y","N","2","N","N","N","0","0"
