"Collision Report Number","Collision Date","County","City","Jurisdiction","Agency","Primary Trafficway","Secondary Trafficway","Block Number","Mile Post","School Zone","Intersection Related","Weather Condition","Lighting Condition","Injury Severity","Collision Type","Object Struck","Damage Threshold Met","Hit and Run","Motor Vehicles Involved","Passengers Involved","Commercial Carrier Involved","School Bus Involved","Pedestrians Involved","Pedalcyclists Involved"
"EA04257","1/9/2020 1:31:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","SR 544              ","","7.510","N","Y","Overcast","Daylight","No Injury Collision","","","Y","N","2","N","N","N","0","0"
"EA04892","1/9/2020 5:25:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 539              ","SMITH RD            ","","3.400","N","N","Overcast","Dark-Street Lights On","Minor Injury Collision","","","Y","N","2","Y","N","N","0","0"
"EA02760","1/9/2020 9:02:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 9                ","MOSQUITO LAKE RD    ","","92.400","N","N","Fog or Smog or Smoke","Dark-Street Lights On","No Injury Collision","","Bridge Rail","N","N","1","Y","N","N","0","0"
"EA02760","1/9/2020 9:02:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 9                ","MOSQUITO LAKE RD    ","","92.400","N","N","Fog or Smog or Smoke","Dark-Street Lights On","No Injury Collision","","Bridge Rail","Y","N","1","Y","N","N","0","0"
"EA04256","1/10/2020 6:19:00 AM","Whatcom","Bainbridge Island","State Road","State Patrol","I5                  ","NULLE RD            ","","242.900","N","N","Snowing","Dark-Street Lights On","No Injury Collision","","Guardrail","Y","N","1","N","N","N","0","0"
"EA04259","1/10/2020 7:03:00 AM","Whatcom","Ferndale","State Road","State Patrol","I 5                 ","GRANDVIEW RD        ","","265.200","N","N","Clear","Dark-No Street Lights","No Injury Collision","","CABLE BARRIER","Y","N","1","N","N","N","0","0"
"EA04876","1/10/2020 9:28:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","TWIN LAKES ROAD     ","","46.000","N","N","Clear","Daylight","No Injury Collision","","Tree","Y","N","1","Y","N","N","0","0"
"EA04886","1/10/2020 1:56:00 PM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","NF 3070             ","","477.000","N","N","Snowing","Daylight","No Injury Collision","","Tree","Y","N","2","N","N","N","0","0"
"EA04889","1/11/2020 5:37:00 AM","Whatcom","Bellingham","State Road","State Patrol","SR 542              ","SAND ROAD           ","","7.000","N","N","Raining","Dark - Unknown Lighting","Minor Injury Collision","","","N","Y","2","N","N","N","0","0"
"EA04710","1/12/2020 6:40:00 PM","Whatcom","Bellingham","State Road","State Patrol","I 5                 ","N LAKE SAMISH       ","","244.200","N","N","Snowing","Daylight","No Injury Collision","","","Y","Y","3","N","N","N","0","0"
